x,y
1284,5
241,595
175,779
258,433
972,1384
1260,1640
536,1355
1892,1067
1124,1822
1536,1931
64,955
1308,1500
451,748
1705,1798
1094,28
1493,1922
564,469
675,291
884,658
134,818
1189,541
1524,174
1068,1073
204,137
858,1073
54,236
934,1942
1611,1491
271,6
796,680
1823,467
1868,464
839,1609
1973,902
1212,296
95,811
1130,817
137,1452
1982,532
304,493
1118,3
535,695
1305,1859
1456,912
212,616
580,1439
1064,594
1916,236
1143,942
738,1907
944,1964
777,1945
457,1439
1524,106
1698,1011
685,1715
135,417
1797,214
979,788
1513,1156
905,1724
1436,957
88,429
286,1209
1472,468
1053,1135
84,793
1575,1091
1691,1433
361,1311
1844,1074
1797,314
1009,1092
804,1173
1493,1429
376,1608
1161,1844
1587,1317
1980,930
1074,121
1771,666
168,591
64,1362
1701,1702
1793,1734
1998,1191
1766,533
1010,1696
914,1410
1709,240
258,828
131,477
1775,1087
759,594
965,1798
244,7
1996,374
1795,622
1760,1870
743,1136
1528,64
802,1619
53,547
345,1751
917,1054
954,290
1293,331
1102,1051
189,1397
1581,761
1469,695
747,217
634,936
358,658
1063,1716
941,1524
717,1335
1030,499
1649,425
552,156
1396,1858
521,825
1513,455
167,393
1473,9
156,1819
1779,799
728,1933
838,235
989,1146
871,367
990,1131
1119,1120
983,1810
110,1680
802,1419
1462,277
690,538
1958,829
178,1559
1867,636
1227,493
1046,809
509,1673
120,362
1975,442
593,70
869,1951
1763,390
539,1368
444,1748
677,844
1429,1806
847,1032
491,605
1855,1693
1999,1462
1709,974
1729,1422
1792,614
113,568
654,1742
1181,673
227,1347
1222,565
695,1330
914,1287
504,511
973,1129
1462,173
364,1507
1360,1869
1994,1191
676,682
117,1221
1004,1415
606,268
764,795
1377,919
335,559
381,1626
132,1243
151,1728
488,1269
66,5
458,1374
1651,1068
584,595
1904,1793
1707,1336
1514,988
1838,599
148,1114
1566,517
1650,869
1637,1017
496,1234
437,377
241,1552
410,312
704,135
1171,1967
725,1521
1415,737
95,113
1206,1178
336,465
1328,1505
1230,1547
1314,1606
333,780
878,837
975,1787
103,1489
1566,553
1078,1597
1749,410
921,1181
1486,601
902,1905
1592,1740
319,461
1867,1865
1980,91
1577,6
61,1665
1340,220
1492,45
1033,434
914,1984
980,952
344,913
1656,218
1050,760
964,1010
1532,50
1760,1144
91,258
834,1572
1250,372
1969,1987
118,696
501,1373
1891,1291
687,264
1829,329
872,139
683,505
656,1016
1668,515
1213,1975
1348,1247
1499,262
1525,584
1936,169
1362,486
645,390
898,1506
