x,y
1873,460
253,927
176,1061
1561,1062
1234,521
1776,1497
323,776
793,1509
1963,791
544,635
195,292
1201,658
868,1693
1945,1527
786,100
590,238
1447,1679
564,18
706,1762
862,1401
1076,230
629,1587
1980,1073
1031,47
1868,1590
815,1731
1129,1117
1815,1581
41,276
1737,736
1926,1415
1333,465
1706,293
1355,1122
270,299
1478,275
852,1266
103,894
823,1234
879,406
1331,1783
218,757
1642,1579
1214,1882
666,52
1584,1129
1934,1203
1427,999
1885,1419
404,966
643,1477
1940,746
700,1783
655,771
5,1354
574,226
967,750
1734,1325
1492,753
175,244
46,96
1687,1322
877,642
1516,51
1730,1328
853,1123
1349,219
404,399
209,1513
1071,1392
1392,1705
577,466
654,1580
1749,518
1392,1556
